ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.usr3X.SEQ_STEP12.STEP SEQ Velo (voice 4),151021579,1,27901,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP12.STEP SEQ Velo (voice 5),151021580,1,27902,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP12.STEP SEQ Velo (voice 6),151021581,1,27903,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP12.STEP SEQ Velo (voice 7),151021582,1,27904,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP12.STEP SEQ Velo (voice 8),151021583,1,27905,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP12.STEP SEQ Gate (voice 1),151021584,1,27906,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP12.STEP SEQ Gate (voice 2),151021585,1,27907,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP12.STEP SEQ Gate (voice 3),151021586,1,27908,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP12.STEP SEQ Gate (voice 4),151021587,1,27909,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP12.STEP SEQ Gate (voice 5),151021588,1,27910,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP12.STEP SEQ Gate (voice 6),151021589,1,27911,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP12.STEP SEQ Gate (voice 7),151021590,1,27912,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP12.STEP SEQ Gate (voice 8),151021591,1,27913,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP12.STEP SEQ Note Flag,151021592,8,27914,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Slide Flag,151021600,8,27922,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Mute Flag,151021608,8,27930,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 1 Target,151021616,8,27938,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 2 Target,151021624,8,27946,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 3 Target,151021632,8,27954,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 4 Target,151021640,8,27962,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 1 Value,151021648,8,27970,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 2 Value,151021656,8,27978,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 3 Value,151021664,8,27986,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 4 Value,151021672,8,27994,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 1 Transient,151021680,1,28002,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 2 Transient,151021681,1,28003,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 3 Transient,151021682,1,28004,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign 4 Transient,151021683,1,28005,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP12.STEP SEQ Assign Flag,151021684,8,28006,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP12._reserve_,151021692,8,28014,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021700,8,28022,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021708,8,28030,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021716,8,28038,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021724,8,28046,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021732,8,28054,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021740,8,28062,8,int,8,4,"0,0",0
